Time Period,Date,Symbol,Sector,Open,Close,High,Low,Volume,Price to Earnings Ratio,Market Cap,Dividend Yield %,52 Week Change %,Debt to Equity,Revenue Growth,Profit Margin
1 Year,2024-04-04,CVX,Energy,155.8408305349402,155.73422241210938,156.95535790146363,154.89105848766465,9269700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-05,CVX,Energy,156.3544727487988,156.61614990234375,157.16856301738594,154.92980738467253,7429800.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-08,CVX,Energy,156.66461145926453,156.2963409423828,157.48840286646094,155.38532873815114,7253200.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-09,CVX,Energy,156.8584467100474,157.00381469726562,157.51746796970085,155.51131580509877,6577400.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-10,CVX,Energy,157.20733222272077,157.65313720703125,157.75005904963626,156.0443292642482,7525800.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-11,CVX,Energy,158.57382759716347,156.89718627929688,158.57382759716347,154.8716470490457,7682500.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-12,CVX,Energy,157.2848433420505,154.05755615234375,158.81611668457532,153.16591665613242,11058800.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-15,CVX,Energy,155.00734292342972,152.7298126220703,155.54038350334335,152.50691012072372,7236900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-16,CVX,Energy,152.44876700352685,151.46022033691406,152.9430329427343,150.6267427137303,5541900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-17,CVX,Energy,151.17916349710606,151.57650756835938,152.8461186647645,150.8399518291464,6733900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-18,CVX,Energy,152.29368778212176,152.71043395996094,153.16592521377112,151.56681832634834,4979200.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-19,CVX,Energy,153.85402643680573,155.0654754638672,155.79234488010405,153.27252498853775,7733100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-22,CVX,Energy,155.0170396313637,156.92628479003906,157.68222792220308,153.55361429359974,6779200.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-23,CVX,Energy,156.33507740497953,157.8275909423828,157.8275909423828,155.64698261379218,5597600.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-24,CVX,Energy,156.8875241758211,158.52540588378906,158.78706826723362,156.4707779551898,7610300.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-25,CVX,Energy,158.65137423855802,160.18264770507812,160.4927857789949,157.65314134395905,9702600.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-26,CVX,Energy,160.13418554714488,160.77383422851562,161.8302143067752,158.26371521343006,9736400.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-29,CVX,Energy,160.79322646628495,161.2002716064453,161.95621469362848,159.6108509118297,6364000.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-30,CVX,Energy,160.8513871753422,156.2963409423828,160.99675517040092,155.98620283532568,8457300.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-01,CVX,Energy,155.8214364982277,154.7069091796875,156.47077147726048,153.9994122185432,7713700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-02,CVX,Energy,155.4628412026914,155.77296447753906,156.79058466313305,154.9588742443426,8597100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-03,CVX,Energy,155.70514391479193,155.3077850341797,155.70514391479193,152.19677702996404,11664500.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-06,CVX,Energy,155.77296848101383,157.2945556640625,158.9615108252763,155.77296848101383,8430300.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-07,CVX,Energy,157.30423927712886,157.65313720703125,158.11832951750213,157.02318959468937,6869900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-08,CVX,Energy,156.95534495055736,157.5271453857422,158.05049968670923,156.55798609023003,6706400.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-09,CVX,Energy,157.99236197825803,160.347412109375,160.40555930448434,157.71129748429874,6683300.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-10,CVX,Energy,160.91921036086237,160.7060089111328,161.28749564240945,159.93067848123272,5490900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-13,CVX,Energy,161.3456377254232,159.45578002929688,161.76238391842398,157.95358014174099,6848300.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-14,CVX,Energy,159.27163007202293,158.56414794921875,160.10510763150882,157.99234753199616,4924000.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-15,CVX,Energy,158.09895785671856,158.02142333984375,158.74829279882354,155.23023988513836,7603100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-16,CVX,Energy,158.12911807002217,157.69837951660156,158.5892238032189,157.1012219652735,6409400.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-17,CVX,Energy,158.34447363930894,159.24510192871094,159.53878863857665,157.79626641424048,5497900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-20,CVX,Energy,159.29406590859313,157.74732971191406,159.56816954471066,157.6788112716486,4913800.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-21,CVX,Energy,157.1991167579442,156.60195922851562,158.06059383319263,156.37680587931288,4783300.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-22,CVX,Energy,156.1614283851517,154.2524871826172,156.1614283851517,153.2245911697058,6260500.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-05-23,CVX,Energy,154.5951201553014,153.63575744628906,155.26081107203376,153.0385999061071,6718400.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
