Time Period,Date,Symbol,Sector,Open,Close,High,Low,Volume,52 Week Change %
1 Year,2024-06-20,CVX,Energy,150.47376747145591,153.34207153320312,154.09586399163427,150.02344582501547,8336000.0,0.04715538
1 Year,2024-06-21,CVX,Energy,153.4986981487751,152.0106964111328,154.35037617992916,151.9519620555397,21292100.0,0.04715538
1 Year,2024-06-24,CVX,Energy,152.97986760049193,155.9558563232422,156.1810096795207,152.90155014232377,7971600.0,0.04715538
1 Year,2024-06-25,CVX,Energy,155.76985693854505,155.12376403808594,156.00480931713895,154.35038846116942,6056700.0,0.04715538
1 Year,2024-06-26,CVX,Energy,155.12375899207473,152.66659545898438,155.12375899207473,152.50996054501695,8637800.0,0.04715538
1 Year,2024-06-27,CVX,Energy,153.40081312144864,153.02882385253906,153.63576550512445,152.36313290088844,5568700.0,0.04715538
1 Year,2024-06-28,CVX,Energy,154.20354003476047,153.12669372558594,155.2412201485867,152.88195728600326,11283400.0,0.04715538
1 Year,2024-07-01,CVX,Energy,153.85113412456758,153.224609375,155.3587041684392,152.69597024839493,5584100.0,0.04715538
1 Year,2024-07-02,CVX,Energy,154.36016522363968,153.4497528076172,154.39933142031245,152.17712029124473,7216800.0,0.04715538
1 Year,2024-07-03,CVX,Energy,153.63575210030547,153.4105987548828,154.4189117066986,153.26374792632512,3264200.0,0.04715538
1 Year,2024-07-05,CVX,Energy,153.25397071770254,151.06112670898438,153.25397071770254,150.4443860639482,6183100.0,0.04715538
1 Year,2024-07-08,CVX,Energy,150.09197387692356,151.08070373535156,152.01069923709454,150.09197387692356,4990700.0,0.04715538
1 Year,2024-07-09,CVX,Energy,149.77870785442647,149.75912475585938,151.50164709014396,149.1423990575069,5301600.0,0.04715538
1 Year,2024-07-10,CVX,Energy,149.2892289457636,151.86386108398438,152.1673318806895,149.0934427805532,5416600.0,0.04715538
1 Year,2024-07-11,CVX,Energy,151.73659885451954,151.99111938476562,153.38122062692955,150.97302232625384,8322500.0,0.04715538
1 Year,2024-07-12,CVX,Energy,152.87216944654688,152.3141632080078,153.14627305713668,151.30585029672542,6446300.0,0.04715538
1 Year,2024-07-15,CVX,Energy,153.64553812746948,154.71258544921875,156.16143596753983,153.0777477790778,5661200.0,0.04715538
1 Year,2024-07-16,CVX,Energy,153.70427957217134,154.4482879638672,154.9769121401787,152.86238555987674,6924200.0,0.04715538
1 Year,2024-07-17,CVX,Energy,155.16290099276299,157.83541870117188,158.080155138069,154.95731581325768,7296600.0,0.04715538
1 Year,2024-07-18,CVX,Energy,157.835434924307,158.5598602294922,160.8212227488516,156.86628809459768,6577700.0,0.04715538
1 Year,2024-07-19,CVX,Energy,159.05910072337318,155.79920959472656,159.27446998262502,155.0747993022673,6427700.0,0.04715538
1 Year,2024-07-22,CVX,Energy,154.88880680188532,153.68470764160156,155.63280023780752,153.54765582610202,5577300.0,0.04715538
1 Year,2024-07-23,CVX,Energy,153.05817588379472,150.8457489013672,153.30291232432683,150.60101246083508,6238700.0,0.04715538
1 Year,2024-07-24,CVX,Energy,151.4331410480814,151.80514526367188,152.4218710125108,150.18987559402538,5971700.0,0.04715538
1 Year,2024-07-25,CVX,Energy,152.09880343044824,154.22311401367188,154.9279561812655,151.36459408399884,5432100.0,0.04715538
1 Year,2024-07-26,CVX,Energy,154.40911529234407,154.5167999267578,155.69153188739045,153.75322340547024,5232500.0,0.04715538
1 Year,2024-07-29,CVX,Energy,154.91817206729692,153.30291748046875,154.91817206729692,151.59954641956492,5072000.0,0.04715538
1 Year,2024-07-30,CVX,Energy,153.16586615379188,156.21038818359375,156.71942924362108,153.14628305532085,5740900.0,0.04715538
1 Year,2024-07-31,CVX,Energy,158.28576108662045,157.09144592285156,158.28576108662045,156.68029044741894,6209200.0,0.04715538
1 Year,2024-08-01,CVX,Energy,155.36849921965933,149.40670776367188,156.141859852687,148.8291333090981,16689900.0,0.04715538
1 Year,2024-08-02,CVX,Energy,147.94809114403432,145.4224090576172,148.83892051533516,143.92462310157757,13278600.0,0.04715538
1 Year,2024-08-05,CVX,Energy,142.45619757779176,141.6143035888672,142.70093402878697,140.3906213338912,13037200.0,0.04715538
1 Year,2024-08-06,CVX,Energy,141.447882499883,140.2144012451172,142.0352410110563,140.106716610773,9692700.0,0.04715538
1 Year,2024-08-07,CVX,Energy,141.53599283159463,139.41168212890625,142.66177458444997,139.28441438835577,8867900.0,0.04715538
1 Year,2024-08-08,CVX,Energy,140.05778992094005,141.44789123535156,141.77094515833517,139.70536881746048,7531100.0,0.04715538
1 Year,2024-08-09,CVX,Energy,141.17377093425827,141.93734741210938,143.03376185465936,140.1752421026351,7653100.0,0.04715538
1 Year,2024-08-12,CVX,Energy,142.76944834965155,141.9667205810547,143.65050851033834,136.74893780383033,8442200.0,0.04715538
1 Year,2024-08-13,CVX,Energy,141.04650231848947,141.11502075195312,141.5066080057682,140.03818941339605,7794800.0,0.04715538
1 Year,2024-08-14,CVX,Energy,141.3499808487309,141.62408447265625,142.1820907383432,140.41018632561028,5874200.0,0.04715538
1 Year,2024-08-15,CVX,Energy,142.52471280577024,143.70924377441406,144.41408593240382,142.41702817225715,6304200.0,0.04715538
1 Year,2024-08-16,CVX,Energy,142.97502705374504,144.16934204101562,144.51196408447845,142.57365571887797,6874400.0,0.04715538
1 Year,2024-08-19,CVX,Energy,144.53560879480708,145.3473358154297,146.23824171662736,144.41682536923625,5967400.0,0.04715538
1 Year,2024-08-20,CVX,Energy,144.8523817744396,143.22894287109375,145.03055690915306,143.10025075955096,7497600.0,0.04715538
1 Year,2024-08-21,CVX,Energy,143.96145957269084,143.8525848388672,145.15924779653696,143.09035596914694,5985000.0,0.04715538
1 Year,2024-08-22,CVX,Energy,143.8822855592855,144.25843811035156,144.85238545055233,143.6645058748591,4027000.0,0.04715538
1 Year,2024-08-23,CVX,Energy,145.05035904976378,146.1293487548828,146.59460396804567,144.8424880594532,4824100.0,0.04715538
1 Year,2024-08-26,CVX,Energy,147.46572825319828,147.00047302246094,148.57441385595524,146.060068976929,5780300.0,0.04715538
